Phylotype,Phage_hits
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Unclassified A
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage RSM3
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Unclassified B
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Ralstonia phage Rs551
IIB,Unclassified C
IIB,Unclassified C
IIB,Unclassified C
IIB,Unclassified C
IIB,Unclassified C
IIB,Unclassified C
IIB,Ralstonia phage RsoM1USA
IIB,Unclassified D
IIB,Ralstonia phage RsoM1USA
IIB,Ralstonia phage RsoM1USA
IIB,Ralstonia phage phiRSA1
IIB,Ralstonia phage RsoM1USA
IIB,Unclassified D
III,Unclassified A
III,Unclassified A
III,Unclassified A
III,Unclassified C
III,Unclassified C
III,Unclassified C
III,Unclassified F
IV,Unclassified A
IV,Unclassified A
IV,Unclassified A
IV,Unclassified A
IV,Ralstonia phage Dina
IV,Ralstonia phage Dina
IV,Ralstonia phage Dina
IV,Ralstonia phage Dina
IV,Unclassified C
IV,Ralstonia phage Dina
IV,Ralstonia phage Dina
IV,Unclassified F
IV,Unclassified F
IV,Unclassified F
IV,Unclassified F
IV,Unclassified H
IV,Unclassified J
